# Most of these results tables intend to be supported.
# This information comes from the MSC 2018 QRG, Chapter 7: Item Codes
# code elem_name has_complex_results

# STRESS/STRAIN
47 CAXIF2 TRUE
48 CAXIF3 TRUE
49 CAXIF4 TRUE
241 CAXISYM FALSE
34 CBAR TRUE
100 CBAR TRUE
238 CBAR FALSE
2 CBEAM TRUE
94 CBEAM FALSE
239 CBEAM FALSE
184 CBEAM3 TRUE
69 CBEND TRUE
102 CBUSH TRUE
40 CBUSH1D FALSE
35 CCONEAX FALSE
55 CDUM3 TRUE
56 CDUM4 TRUE
57 CDUM5 TRUE
58 CDUM6 TRUE
59 CDUM7 TRUE
60 CDUM8 TRUE
61 CDUM9 TRUE
11 CELAS1 TRUE
12 CELAS2 TRUE
13 CELAS3 TRUE
86 CGAP FALSE
67 CHEXA TRUE
93 CHEXA FALSE
202 CHEXAFD FALSE
207 CHEXAFD 207 FALSE
65 CIFHEX FALSE
66 CIFPENT FALSE
73 CIFQDX FALSE
63 CIFQUAD FALSE
10 CONROD TRUE
92 CONROD FALSE
68 CPENTA TRUE
91 CPENTA FALSE
204 CPENTAFD FALSE
209 CPENTAFD FALSE
33 CQUAD4 TRUE
90 CQUAD4 FALSE
95 CQUAD4 TRUE
144 CQUAD4 TRUE
64 CQUAD8 TRUE
96 CQUAD8 TRUE
201 CQUADFD FALSE
208 CQUADFD FALSE
82 CQUADR TRUE
172 CQUADR FALSE
232 CQUADR TRUE
18 CQUADX TRUE
214 CQUADXFD FALSE
215 CQUADXFD FALSE
1 CROD TRUE
89 CROD FALSE
4 CSHEAR TRUE
50 CSLOT3 TRUE
51 CSLOT4 TRUE
39 CTETRA TRUE
85 CTETRA FALSE
205 CTETRAFD FALSE
210 CTETRAFD FALSE
74 CTRIA3 TRUE
97 CTRIA3 TRUE
88 CTRIA3 FALSE
75 CTRIA6 TRUE
98 CTRIA6 TRUE
206 CTRIAFD FALSE
211 CTRIAFD FALSE
70 CTRIAR TRUE
173 CTRIAR FALSE
233 CTRIAR TRUE
17 CTRIAX TRUE
53 CTRIAX6 TRUE
212 CTRIAXFD FALSE
213 CTRIAXFD FALSE
3 CTUBE TRUE
87 CTUBE FALSE
118 CWELDP TRUE
117 CWELDC TRUE
200 CWELD TRUE
###################
# THESE HAVE DIFFERENT FORMATS DEPENDING ON CONTROL DECK...
145 VUHEXA TRUE
146 VUPENTA TRUE
147 VUTETRA TRUE
189 VUQUAD TRUE
190 VUTRIA TRUE
###################
191 VUBEAM TRUE

# ELEMENT FORCES
34 CBAR TRUE
100 CBAR TRUE
2 CBEAM TRUE
184 CBEAM TRUE
69 CBEND TRUE
102 CBUSH TRUE
35 CCONEAX FALSE
20 CDAMP1 TRUE
21 CDAMP2 TRUE
22 CDAMP3 TRUE
23 CDAMP4 TRUE
55 CDUM3 TRUE
56 CDUM4 TRUE
57 CDUM5 TRUE
58 CDUM6 TRUE
59 CDUM7 TRUE
60 CDUM8 TRUE
61 CDUM9 TRUE
11 CELAS1 TRUE
12 CELAS2 TRUE
13 CELAS3 TRUE
14 CELAS4 TRUE
38 CGAP FALSE
10 CONROD TRUE
33 CQUAD4 TRUE
95 CQUAD4 FALSE
144 CQUAD4 TRUE
64 CQUAD8 TRUE
96 CQUAD8 TRUE
82 CQUADR TRUE
235 CQUADR TRUE
1 CROD TRUE
4 CSHEAR TRUE
74 CTRIA3 TRUE
97 CTRIA3 FALSE
75 CTRIA6 TRUE
98 CTRIAR6 FALSE
70 CTRIAR TRUE
236 CTRIAR TRUE
3 CTUBE TRUE
24 CVISC TRUE
118 CWELDP TRUE
117 CWELDC TRUE
200 CWELD TRUE
#############
# VU'S HAVE DIFFERENT FORMAT DEPENDING ON CONTROL DECK..
189 VUQUAD TRUE
190 VUTRIA TRUE
#############
191 VUBEAM TRUE

