 ASE=     200 MACH NUMBER= 8.0000E-01 IROW=    1 ICOL=    2

          COMPUTED DATA                   RATIONAL APPROXIMATION
   REDUCED       GENERALIZED FORCE     REDUCED       GENERALIZED FORCE
  FREQUENCY     REAL      IMAGINARY   FREQUENCY     REAL      IMAGINARY

  0.0000E+00  1.8161E+02  0.0000E+00  0.0000E+00  1.8161E+02  0.0000E+00
  1.0000E-01  1.8175E+02  2.3872E+01  1.0000E-01  1.8080E+02  2.3711E+01
  1.5000E-01  1.8247E+02  3.6280E+01  1.5000E-01  1.8291E+02  3.6372E+01
  2.0000E-01  1.8384E+02  4.8867E+01  2.0000E-01  1.8432E+02  4.8169E+01
  2.5000E-01  1.8594E+02  6.1505E+01  2.5000E-01  1.8573E+02  6.0664E+01
  3.0000E-01  1.8882E+02  7.4052E+01  3.0000E-01  1.8816E+02  7.3746E+01
  4.0000E-01  1.9692E+02  9.8219E+01  4.0000E-01  1.9697E+02  9.9008E+01
  5.0000E-01  2.0760E+02  1.2002E+02  5.0000E-01  2.0877E+02  1.2025E+02
  6.0000E-01  2.1931E+02  1.3857E+02  6.0000E-01  2.2013E+02  1.3764E+02
  8.0000E-01  2.3825E+02  1.6915E+02  8.0000E-01  2.3704E+02  1.6928E+02
  1.0000E+00  2.5086E+02  2.0502E+02  1.0000E+00  2.5109E+02  2.0549E+02
