 ASE=     200 MACH NUMBER= 8.0000E-01 IROW=    2 ICOL=    2

          COMPUTED DATA                   RATIONAL APPROXIMATION
   REDUCED       GENERALIZED FORCE     REDUCED       GENERALIZED FORCE
  FREQUENCY     REAL      IMAGINARY   FREQUENCY     REAL      IMAGINARY

  0.0000E+00  1.5919E+02  0.0000E+00  0.0000E+00  1.5919E+02  0.0000E+00
  1.0000E-01  1.5537E+02 -3.5945E+01  1.0000E-01  1.5640E+02 -3.5761E+01
  1.5000E-01  1.5193E+02 -5.2417E+01  1.5000E-01  1.5133E+02 -5.2771E+01
  2.0000E-01  1.4795E+02 -6.8062E+01  2.0000E-01  1.4722E+02 -6.7525E+01
  2.5000E-01  1.4356E+02 -8.3015E+01  2.5000E-01  1.4369E+02 -8.2199E+01
  3.0000E-01  1.3878E+02 -9.7368E+01  3.0000E-01  1.3969E+02 -9.7101E+01
  4.0000E-01  1.2789E+02 -1.2429E+02  4.0000E-01  1.2853E+02 -1.2565E+02
  5.0000E-01  1.1502E+02 -1.4806E+02  5.0000E-01  1.1421E+02 -1.4931E+02
  6.0000E-01  1.0095E+02 -1.6708E+02  6.0000E-01  9.9936E+01 -1.6669E+02
  8.0000E-01  7.9696E+01 -1.8848E+02  8.0000E-01  8.1441E+01 -1.8752E+02
  1.0000E+00  8.1461E+01 -2.0191E+02  1.0000E+00  8.0752E+01 -2.0211E+02
