TITLE = "Flow in a Channel"
Variables="X","Y","P","RHO","U", "V"
Zone I=     4, J=    11, F=POINT
     0.000     0.000    0.00000        31.0000        0.00000        0.00000    
     0.000     1.000    0.00000        21.0000        2.00000        0.00000    
     0.000     2.000    0.00000        11.0000        2.00000        0.00000    
     0.000     3.000    0.00000        1.00000        0.00000        0.00000    
     1.000     0.000   -2.00000        28.0000        0.00000       0.587528E-02
     1.000     1.000   -2.00000        19.0000        2.00000       0.587528E-02
     1.000     2.000   -2.00000        10.0000        2.00000       0.587528E-02
     1.000     3.000   -2.00000        1.00000        0.00000       0.587528E-02
     2.000     0.000   -4.00000        25.0000        0.00000       0.950859E-02
     2.000     1.000   -4.00000        17.0000        2.00000       0.950859E-02
     2.000     2.000   -4.00000        9.00000        2.00000       0.950859E-02
     2.000     3.000   -4.00000        1.00000        0.00000       0.950859E-02
     3.000     0.000   -6.00000        22.0000        0.00000       0.951351E-02
     3.000     1.000   -6.00000        15.0000        2.00000       0.951351E-02
     3.000     2.000   -6.00000        8.00000        2.00000       0.951351E-02
     3.000     3.000   -6.00000        1.00000        0.00000       0.951351E-02
     4.000     0.000   -8.00000        19.0000        0.00000       0.588816E-02
     4.000     1.000   -8.00000        13.0000        2.00000       0.588816E-02
     4.000     2.000   -8.00000        7.00000        2.00000       0.588816E-02
     4.000     3.000   -8.00000        1.00000        0.00000       0.588816E-02
     5.000     0.000   -10.0000        16.0000        0.00000       0.159255E-04
     5.000     1.000   -10.0000        11.0000        2.00000       0.159255E-04
     5.000     2.000   -10.0000        6.00000        2.00000       0.159255E-04
     5.000     3.000   -10.0000        1.00000        0.00000       0.159255E-04
     6.000     0.000   -12.0000        13.0000        0.00000      -0.586238E-02
     6.000     1.000   -12.0000        9.00000        2.00000      -0.586238E-02
     6.000     2.000   -12.0000        5.00000        2.00000      -0.586238E-02
     6.000     3.000   -12.0000        1.00000        0.00000      -0.586238E-02
     7.000     0.000   -14.0000        10.0000        0.00000      -0.950365E-02
     7.000     1.000   -14.0000        7.00000        2.00000      -0.950365E-02
     7.000     2.000   -14.0000        4.00000        2.00000      -0.950365E-02
     7.000     3.000   -14.0000        1.00000        0.00000      -0.950365E-02
     8.000     0.000   -16.0000        7.00000        0.00000      -0.951841E-02
     8.000     1.000   -16.0000        5.00000        2.00000      -0.951841E-02
     8.000     2.000   -16.0000        3.00000        2.00000      -0.951841E-02
     8.000     3.000   -16.0000        1.00000        0.00000      -0.951841E-02
     9.000     0.000   -18.0000        4.00000        0.00000      -0.590102E-02
     9.000     1.000   -18.0000        3.00000        2.00000      -0.590102E-02
     9.000     2.000   -18.0000        2.00000        2.00000      -0.590102E-02
     9.000     3.000   -18.0000        1.00000        0.00000      -0.590102E-02
    10.000     0.000   -20.0000        1.00000        0.00000      -0.318509E-04
    10.000     1.000   -20.0000        1.00000        2.00000      -0.318509E-04
    10.000     2.000   -20.0000        1.00000        2.00000      -0.318509E-04
    10.000     3.000   -20.0000        1.00000        0.00000      -0.318509E-04
 
GEOMETRY X = 0.0, Y = 0.0, T = LINE, CS = GRID,
  L = SOLID, LT = 0.005, C = BLACK, FC = BLACK, 
  F = POINT, S = GLOBAL
1
     2
    0.00000        3.00000    
    10.0000        3.00000    
 
GEOMETRY X = 0.0, Y = 0.0, T = LINE, CS = GRID,
  L = SOLID, LT = 0.005, C = BLACK, FC = BLACK, 
  F = POINT, S = GLOBAL
1
     2
    0.00000        0.00000    
    10.0000        0.00000    

GEOMETRY X = 0.0, Y = 0.0, T = LINE, CS = GRID,
  L = DASHED, LT = 0.005, C = BLUE, FC = BLUE, 
  F = POINT, S = GLOBAL
1
     2
    7.00000       0.00000    
    7.0000        3.00000 
